"Email 1"
"Komoot","komoot.de","sport","Ton10s3nUmfasseBefeuertes",""
"Wikipedia Account","wikipedia.org","redakteur","AbwegigsterVerstrichst","## Wikipedia
Wikipedia is a multilingual, web-based, free-content encyclopedia project supported by the Wikimedia Foundation and based on a model of openly editable content. Wikipedia is the largest and most popular general reference work on the Internet, and is named as one of the most popular websites. The project is owned by the Wikimedia Foundation, a non-profit which "operates on whatever monies it receives from its annual fund drives"."
"Telegram","telegram.org","+49456789","AnwinkelndenVortritten",""
"Zalando","zalando.de","shoes","UnangebrachterGasfeuerung",""
"Samsung Account","samsung.com","sungsam","P3ntium5chandbaremBegeh7",""
"British Times","thetimes.co.uk","username","D@zugosstGlück1o$3n",""
"AMD","amd.com","ryzen","AufzustellendeMenschheitssache",""
"Creative Cloud","adobe.com","creator","123456",""
"Mystery Account","bfy.tw","lol","Bolzan0G3köpftenAsy1","What could this be? I definitely don't know! Never seen it!"
"Chip.de","chip.de","user196","V3rk0ppelInnehabenWede1t",""
"Threema","threema.ch","chat","WohlbehagenZurückerbeten",""
"Yelp","yelp.com","rate","BuchsbaumsBasis1ag3r5Erneuernden",""
"Pinterest","pinterest.de","photo","Bind3tUnerf0rschtKrank5t",""
"Bugzilla","mozilla.org","bug","Ri3genSatiniertesIrrwi7zige5",""
"Mozilla Support","mozilla.org","help","Stimml0sKavali3renVerwe1ktes",""
"F.A.Z","faz.net","reader","Trächt!g3r€ntw0rfener",""
"Stackoverflow","stackoverflow.com","ask","AnfachtestLockigem",""
"Booking.com","booking.com","book","N3u5temAufkochendeKr0atinnen",""
"Conrad","conrad.de","someone","AugenfälligerenZeitplanens",""
"IMDb","imdb.com","movies","Gal3rienNeblig5tFlege1hafte",""
"ebay.de - seller","ebay.de","seller","HerzigerHerzförmiger",""
"Razer Gaming Stuff","razerzone.com","user","N3tt0zinsenPrivi1egsMachbaren",""
"Tumblr","tumblr.com","blogging","Abzuwi3genWälzendeMu1d3n",""
"Rakuten","rakuten.de","buyer","3rglühtetG1itzerte5tEntwendeten",""
"Spotify","spotify.com","music","WoollyRobbery",""
"Wiko Customer Account","wikomobile.com","user","F3rienidyllV01ksfestesWieners",""
"Steam","steampowered.com","gabe","VerkrustendUmarmungen","# Steam
**Steam** is a digital distribution platform developed by **Valve** Corporation, which offers digital rights management (DRM), multiplayer gaming, video streaming and social networking services. Steam provides the user with installation and automatic updating of games, and community features such as friends lists and groups, cloud saving, and in-game voice and chat functionality. The software provides a freely available application programming interface (API) called Steamworks, which developers can use to integrate many of Steam's functions into their products, including networking, matchmaking, in-game achievements, micro-transactions, and support for user-created content through Steam Workshop. Though initially developed for use on Microsoft Windows operating systems, versions for OS X and Linux were later released. Mobile apps with connected functionality with the main software were later released for iOS, Android, and Windows Phone devices in the 2010s."
"Etsy","etsy.com","buy","Funk31tMasernsJu5tieren",""
"Rakuten Japan","rakuten.co.jp","buy","W3gzufegendZeilenweiseEntg1ei5t",""
"skype.com - myskypename","skype.com","myskypename","HineintretenderHelltönende",""
"DJI Drones","dji.com","fly","3inweichteZerbarstetTranchier57",""
"PayDirekt","paydirekt.de","geld","MorgenstundeAnklagst",""
"Host Europe Hosting","hosteurope.de","user123456","Hinausr@gt3Osm0s€n","This is the account for our company website hosting.

We have the service WebHosting Medium, Service can be found [here](https://www.hosteurope.de/Host-Europe/Kontakt/)."
"waipu.tv - watch","waipu.tv","bored","DizziestPane",""
"Onedrive","live.com","storage","Taiwan3rnGeknöpfterWieher73n",""
"Outlook","live.com","mail","Mütt3rchenSiebenfacheMu5tertex7",""
"ISSUU Publisher Account","issuu.com","publish","S3elenhei1eExpositi0nAbhängt",""
"Blogger","blogger.com","blog","Sitz3ndenAbkap5e1eAngebereien","> Google Tumblr Clone"
"Sony Account","sony.de","mysony","Umdr3htenAu5zuredendAb0nnierten",""
"HBO","hbo.com","got","FlammableBlackening",""
"sparkasse.de - konto","sparkasse.de","konto","PrivatangelegenheitLeidendes",""
"New York Times","nytimes.com","reader","Z3rschnittKun$t5z€ne","The New York Times (NYT) ist eine einflussreiche und überregionale Tageszeitung aus New York City, die von der New York Times Company geführt wird. "
"GitHub","github.com","dev","GasherdesEndgültigstem",""
"Netflix","netflix.com","watch","PuncturedPotassium",""
"Golem","golem.de","user456","Ti3ferD0zierteUmsege1tet",""
"Flinkster","flinkster.de","car","V3rmutestDruckba1kenSekt0rs","Deutsche Bahn, but they have electric cars"
"playstation.com - ps2","playstation.com","ps2","password",""
"futuremark.com - benchmark","futuremark.com","benchmark","Ank1ang5NacktB3zauberter",""
"Signal","signal.org","secure","ErstattestAbwerbe",""
"GitLab","gitlab.com","dev","VorpostensRegenbogens",""
"Saturn","saturn.de","customer","G3schauertWi1dcard5Mündigen",""
"Change.org","change.org","activism","3ntfesse1nVerkupfereErnähr5t",""
"Twitter","twitter.com","dorsey","HergestelltemZurückbehaltener",""
"SZ.de","sueddeutsche.de","redakteur","G3f1öt€tGewertet€r",""
"Whatsapp","whatsapp.com","+49123456","VorgezeichnetWeiträumigeres","# WhatsApp
More than **1 billion people** in over **180 countries** use WhatsApp to stay in touch with friends and family, anytime and anywhere. WhatsApp is free and offers simple, secure, reliable messaging and calling, available on phones all over the world. 


## Our Mission
WhatsApp started as an alternative to SMS. Our product now supports sending and receiving a variety of media: text, photos, videos, documents, and location, as well as voice calls. Our messages and calls are secured with end-to-end encryption, meaning that no third party including WhatsApp can read or listen to them. Behind every product decision is our desire to let people communicate anywhere in the world without barriers.

## Our Team
WhatsApp was founded by Jan Koum and Brian Acton who had previously spent 20 years combined at Yahoo. WhatsApp joined Facebook in 2014, but continues to operate as a separate app with a laser focus on building a messaging service that works fast and reliably anywhere in the world.

From [WhatsApp](https://www.whatsapp.com/about/)"
"Office 365","office.com","writer","Walz3nhöheBe5türzteP1eitegehen",""
"DropBox","dropbox.com","upload","MagerjahrenZimbel",""
"MySpace","myspace.com","lol","123456789",""
"Telegraph","telegraph.co.uk","reader","V3rpolteMilizenGrapho10gen",""
"Facebook (Second Account)","facebook.com","fakeuser","Pa1äarktisPfand3sUmsp0nnenem",""
"Facebook","facebook.com","zuckerberg","SozialisierungParteiischeres",""
"Flixbus","flixbus.de","bus","Mitspr3cheAnkaufte5t1agebedingt",""
"DriveNow ","drive-now.com","bmw","Warb3nHei15amereDämme",""
"BBC","bbc.co.uk","reader","Tr0ck3nererAnvisierten5temmenden",""
"Nexusmods","nexusmods.com","mod","G3würfe1tFindbarRadar5chirm",""
"Soundcloud","soundcloud.com","music","Oxidati0nH3imzah1tenFindige",""
"Washington Post","washingtonpost.com","user","Rauchig3sGehackteEhe5tif7er",""
"Deutsche Bahn Fahrkarten","bahn.de","öpnv","Säub3rungBedanktestBallwech5e1",""
"Slack","slack.com","chat","NeuphilologischeSäurehaltigerem",""
"Twitch.tv","twitch.tv","streamer","HexadezimalanzeigeKribbelndes",""
"LG Support","lg.com","user","Ab5t3cktetKöche1tenFragbaren",""
"The Nikkei 日本経済新聞","nikkei.com","jp","Pr@ss3nKürz€5ten","The Nikkei, formally known as The Nihon Keizai Shinbun (日本経済新聞, Japan Economics Newspaper), is Nikkei, Inc.'s flagship publication and the world's largest financial newspaper, with a daily circulation exceeding three million."
"Cisco Login","cisco.com","switches","Knitt3rigen0rgelk1angHitze",""
"Vero Social Network","vero.co","social","Daur3VermummHumans7e5",""
"CD Projekt Red","cdprojektred.com","gamer","V3rarmendeGewächsenF1ügge5",""
"Uplay","ubi.com","purchase","Stich3ltenA1tbayernRinnende5",""
"JetBrains","jetbrains.com","ide","DreamiestBookcase",""
"BQ","bq.com","customer","Sp0ntan5t3AufgepeppteUnentdeckt",""
"Google","google.com","page","UnüblichsterFortbestünden",""
"Google Plus","google.com","brin","VerrostetAufpumpenden",""
"Hetzner Server","hetzner.de","server","Zur3d€nFutter@1s","This is our dedicated Server. Type EPYC AX160-NVMe"
"GoFundMe.com","gofundme.com","fund","ReuigstesVorbeikommen",""
"Bitbucket","bitbucket.org","coder","UnchristianHindrance",""
"Oneplus Forum","oneplus.net","twominus","Umg3kipptesRüffelndF0rtspü1st",""
"Oneplus Shop","oneplus.net","twominus","Armach53FaucheUrtüm1iche",""
"Humble Bundle","humblebundle.com","games","AufzeichnungsträgerRüstungsanstrengungen",""
"Sparda Bank","sparda-bw.de","anlage","TrübsinnigeSteuerzugeständnisse",""
"KickStarter","kickstarter.com","me","InterkommunalenKartellabsprache",""
"Digitalo.de","digitalo.de","buyer","VertrauensbildendemAusströmend",""
"Instagram","instagram.com","photos","Wägbar35eparatemNage1nde",""
"Hulu","hulu.com","myaccount","Müh3lo$€mRütte1te",""
"Microsoft","microsoft.com","gates","EdleresMarkierter",""
"Flickr","flickr.com","photos","Ansch0bstPrivatbri3fG1asieren",""
"Deezer","deezer.com","laut","MitigatedJeering",""
"Le Monde","lemonde.fr","lecteur","üb3r1@stRicht€rin",""
"Vimeo","vimeo.com","watch","$h0rT",""
"Deutsche Bank","deutsche-bank.de","bank","InstrumentationenHineinführend",""
"TripAdvisor","tripadvisor.com","travel","NotaAbdrift3tenFikti0na1",""
"PayPal","paypal.com","pay","PreiserhöhungAbgebürstete",""
"Sixt","sixt.de","rental","Starrt3nReihstErneu7e5",""
"Stadtmobil Car Sharing","stadtmobil.de","auto","V3rkeilteHal1enbahn5ympathien",""
"Car2Go","car2go.com","benz","Vol1st3nAndremSchrotbr0ts",""
"Let's Encrypt Community","letsencrypt.org","ssl","Hall3ndenRedigierung1äu7ernden",""
"Zeit.de","zeit.de","anonymous","Pr0z3ntsKn€if$t","## DIE ZEIT
Die Zeit (in der Schreibweise des Verlags: DIE ZEIT) ist eine überregionale deutsche Wochenzeitung, die erstmals am 21. Februar 1946 erschien. Seit dem 1. Juli 1996 gehört der Zeitverlag und somit Die Zeit zur Verlagsgruppe Georg von Holtzbrinck. Sie erscheint jeden Donnerstag; an Feiertagen wird der Erscheinungstag in der Regel vorgezogen.

Den Herausgeberrat der Zeit bilden Jutta Allmendinger, Zanny Minton Beddoes, Florian Illies, Josef Joffe und René Obermann. Weitere Herausgeber waren unter anderen Gerd Bucerius, Marion Gräfin Dönhoff, Helmut Schmidt, Theo Sommer und Michael Naumann.

Erscheinungsort ist seit jeher Hamburg. Die Zeit unterhält Redaktionsbüros in Baden in der Schweiz, Berlin, Brüssel, Dresden, Frankfurt am Main, Moskau, New York, Paris, Istanbul, Washington, D.C. und Wien. Korrespondenten der Zeit arbeiten in Neu-Delhi, Peking, Tel Aviv, London und Rom."
